codigo,alimento,energia_kcal,carbohidratos_g,proteinas_g,grasas_totales_g,fuente
,,182.0,,28.0,7.8,Argenfood - Universidad Nacional de Luján
,,88.0,,16.3,2.5,Argenfood - Universidad Nacional de Luján
,,198.0,,23.1,11.7,Argenfood - Universidad Nacional de Luján
,,162.0,,28.4,5.4,Argenfood - Universidad Nacional de Luján
,,168.0,,29.8,5.4,Argenfood - Universidad Nacional de Luján
,,64.0,,15.5,0.2,Argenfood - Universidad Nacional de Luján
,,170.0,,18.4,10.7,Argenfood - Universidad Nacional de Luján
,,189.0,,24.6,10.1,Argenfood - Universidad Nacional de Luján
,,785.0,,0.5,87.0,Argenfood - Universidad Nacional de Luján
,,111.0,,21.0,3.0,Argenfood - Universidad Nacional de Luján
,,224.0,,23.7,14.4,Argenfood - Universidad Nacional de Luján
,,132.0,,19.7,3.2,Argenfood - Universidad Nacional de Luján
,,33.0,,6.8,0.6,Argenfood - Universidad Nacional de Luján
,,116.0,,20.0,4.0,Argenfood - Universidad Nacional de Luján
,,97.0,,21.2,1.4,Argenfood - Universidad Nacional de Luján
,,335.0,,14.0,31.0,Argenfood - Universidad Nacional de Luján
,,137.0,,15.0,8.1,Argenfood - Universidad Nacional de Luján
,,139.0,,27.2,3.4,Argenfood - Universidad Nacional de Luján
,,95.0,,20.0,1.7,Argenfood - Universidad Nacional de Luján
,,171.0,,23.8,8.4,Argenfood - Universidad Nacional de Luján
,,258.0,,25.6,17.3,Argenfood - Universidad Nacional de Luján
,,241.0,,28.1,14.3,Argenfood - Universidad Nacional de Luján
,,233.0,,36.0,9.9,Argenfood - Universidad Nacional de Luján
,,120.0,,20.7,2.2,Argenfood - Universidad Nacional de Luján
,,197.0,,38.6,4.4,Argenfood - Universidad Nacional de Luján
,,98.0,,19.5,,Argenfood - Universidad Nacional de Luján
,,207.0,,37.0,6.4,Argenfood - Universidad Nacional de Luján
,,107.0,,19.0,3.4,Argenfood - Universidad Nacional de Luján
,,231.0,,41.1,6.8,Argenfood - Universidad Nacional de Luján
,,105.0,,18.4,2.2,Argenfood - Universidad Nacional de Luján
,,236.0,,36.5,9.8,Argenfood - Universidad Nacional de Luján
,,120.0,,21.1,2.5,Argenfood - Universidad Nacional de Luján
,,177.0,,35.1,3.8,Argenfood - Universidad Nacional de Luján
,,103.0,,21.0,1.1,Argenfood - Universidad Nacional de Luján
,,192.0,,35.5,5.2,Argenfood - Universidad Nacional de Luján
,,106.0,,18.4,2.7,Argenfood - Universidad Nacional de Luján
,,203.0,,38.4,5.0,Argenfood - Universidad Nacional de Luján
,,107.0,,18.4,2.5,Argenfood - Universidad Nacional de Luján
,,,,,2.5,Argenfood - Universidad Nacional de Luján
,,,,,2.0,Argenfood - Universidad Nacional de Luján
,,,,,3.2,Argenfood - Universidad Nacional de Luján
,,,,,2.1,Argenfood - Universidad Nacional de Luján
,,,,,2.0,Argenfood - Universidad Nacional de Luján
,,,,,4.5,Argenfood - Universidad Nacional de Luján
,,,,,2.2,Argenfood - Universidad Nacional de Luján
,,,,,2.3,Argenfood - Universidad Nacional de Luján
,,,,,2.3,Argenfood - Universidad Nacional de Luján
,,,,,2.1,Argenfood - Universidad Nacional de Luján
,,,,,2.2,Argenfood - Universidad Nacional de Luján
,,,,,2.3,Argenfood - Universidad Nacional de Luján
