codigo,alimento,energia_kcal,carbohidratos_g,proteinas_g,grasas_totales_g,fuente,grupo
,,98.0,,18.9,2.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,80.0,,18.5,0.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,79.0,,18.4,0.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,91.0,,21.0,0.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,66.0,,13.9,1.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,83.0,,18.8,0.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,97.0,,22.0,0.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,64.0,,11.9,1.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,95.0,,17.6,1.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,84.0,,21.1,,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,202.0,,20.2,11.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,212.0,,26.5,11.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,250.0,,19.9,18.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,320.0,,25.2,24.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,473.0,,18.0,44.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,211.0,,20.3,14.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,670.0,,8.3,70.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,454.0,,13.0,44.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,99.0,,18.7,2.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,182.0,,28.0,7.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,88.0,,16.3,2.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,198.0,,23.1,11.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,162.0,,28.4,5.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
